timestamps,open,high,low,close,volume,amount
2024-01-01 00:00:00,100.06,101.09,99.17,100.4,3716006,372450432
2024-01-01 00:05:00,102.24,102.34,101.73,102.32,14019646,1433923171
2024-01-01 00:10:00,104.51,104.94,103.73,104.93,25083973,2626827629
2024-01-01 00:15:00,108.2,108.77,107.72,108.36,18947099,2051618619
2024-01-01 00:20:00,109.31,111.56,109.12,110.35,15838999,1739570935
2024-01-01 00:25:00,112.49,113.03,111.62,112.37,18020034,2026045991
2024-01-01 00:30:00,116.11,118.62,115.81,116.1,27390678,3180192459
2024-01-01 00:35:00,118.7,119.78,117.19,119.18,18435141,2192675971
2024-01-01 00:40:00,121.54,122.01,120.03,121.14,17841854,2164913118
2024-01-01 00:45:00,124.71,125.34,123.3,124.13,15320057,1906109710
2024-01-01 00:50:00,125.16,126.19,125.1,126.17,18279401,2297069418
2024-01-01 00:55:00,127.76,129.69,127.3,128.25,9736781,1246320777
2024-01-01 01:00:00,130.59,132.13,130.38,131.09,12471403,1631788314
2024-01-01 01:05:00,131.1,131.93,129.95,131.72,4072944,535209877
2024-01-01 01:10:00,133.09,133.17,132.03,132.54,10516267,1396709358
2024-01-01 01:15:00,134.48,135.24,133.56,134.61,11708543,1575374982
2024-01-01 01:20:00,136.05,136.75,133.68,136.23,7995033,1088443803
2024-01-01 01:25:00,137.94,140.11,137.73,139.34,11908923,1651036176
2024-01-01 01:30:00,141.58,142.16,140.96,141.13,15954375,2255173566
2024-01-01 01:35:00,141.48,142.47,140.39,142.37,12495436,1773406069
2024-01-01 01:40:00,147.0,149.56,146.67,146.96,21996976,3233143606
2024-01-01 01:45:00,149.87,151.58,149.18,149.66,15752329,2359167293
2024-01-01 01:50:00,153.81,156.09,149.73,152.77,14894327,2283198193
2024-01-01 01:55:00,153.09,155.06,152.75,154.1,8308282,1276104063
2024-01-01 02:00:00,154.17,157.38,153.78,156.53,18173539,2823292760
2024-01-01 02:05:00,159.99,160.4,159.69,159.84,9672213,1546743965
2024-01-01 02:10:00,163.04,164.06,160.2,161.58,9563529,1552255166
2024-01-01 02:15:00,166.37,166.72,163.36,165.35,13951729,2314042132
2024-01-01 02:20:00,168.06,170.21,165.25,167.89,12590812,2114925201
2024-01-01 02:25:00,170.46,171.98,169.66,170.88,13263124,2263666035
2024-01-01 02:30:00,174.2,175.41,171.24,173.5,12848062,2233693346
2024-01-01 02:35:00,178.78,181.69,178.18,179.66,14350699,2571941606
2024-01-01 02:40:00,183.71,185.4,182.54,183.27,15159338,2781614714
2024-01-01 02:45:00,185.88,190.1,184.09,185.41,8007618,1486541991
2024-01-01 02:50:00,191.42,192.66,188.23,190.41,12527967,2391738882
2024-01-01 02:55:00,195.03,196.52,192.27,192.37,5723645,1108666657
2024-01-01 03:00:00,196.98,197.79,195.24,196.59,20015756,3938820858
2024-01-01 03:05:00,196.95,197.8,194.28,197.45,6657191,1312799019
2024-01-01 03:10:00,199.29,199.35,197.98,199.32,10932894,2178980518
2024-01-01 03:15:00,201.87,204.79,200.55,203.67,19401056,3933966827
2024-01-01 03:20:00,208.3,209.37,206.71,209.02,21192981,4422150692
2024-01-01 03:25:00,213.11,214.85,211.03,213.55,15238964,3250895786
2024-01-01 03:30:00,217.1,220.48,213.27,217.67,12922565,2809118903
2024-01-01 03:35:00,221.71,222.24,220.91,221.54,12099003,2681390156
2024-01-01 03:40:00,222.44,225.03,222.25,223.36,10377415,2313150307
2024-01-01 03:45:00,227.84,228.6,225.82,226.57,12074135,2743338404
2024-01-01 03:50:00,230.31,231.6,230.3,230.31,17773656,4093406521
2024-01-01 03:55:00,236.95,242.3,234.05,236.96,26456391,6269047979
2024-01-01 04:00:00,242.03,242.63,239.42,242.42,10991267,2662360972
2024-01-01 04:05:00,244.05,244.82,242.19,243.87,5067304,1236219864
2024-01-01 04:10:00,250.48,251.95,246.7,249.45,18440264,4609339732
2024-01-01 04:15:00,252.61,254.08,250.55,253.71,10797610,2733532779
2024-01-01 04:20:00,256.6,258.39,255.85,257.45,6383090,1640603020
2024-01-01 04:25:00,263.54,264.36,261.74,263.94,24250421,6395914219
2024-01-01 04:30:00,269.69,273.73,268.95,271.52,13913384,3764997879
2024-01-01 04:35:00,277.94,279.54,274.6,279.08,26787313,7460542694
2024-01-01 04:40:00,282.15,286.13,281.98,282.82,14195071,4009927666
2024-01-01 04:45:00,289.09,290.13,285.47,287.83,17399169,5019023517
2024-01-01 04:50:00,294.82,297.09,288.21,294.44,11463107,3377388705
2024-01-01 04:55:00,303.04,303.62,301.3,302.75,13890132,4207266404
2024-01-01 05:00:00,309.0,310.86,307.57,307.69,13378605,4125273740
2024-01-01 05:05:00,313.24,314.15,311.43,313.45,9593592,3006121195
2024-01-01 05:10:00,317.6,320.01,316.05,316.98,8530612,2706667632
2024-01-01 05:15:00,320.15,321.13,314.03,320.31,8405095,2691571297
2024-01-01 05:20:00,329.36,331.98,328.45,328.93,12049326,3965970820
